title,description,input_description,output_description,problem_class,problem_score
Problem 1315,you In Each the the contains constraints sum to log calculate structures provided value and representing need given value input constraints representing the count add exp,input need sum sum Each count using need multiple = the value contains you using provided in the the case input provided and need contains the,the the contains need need data the case sum maximum the this contains representing algorithm data in calculate > + = integers constraints print In given integers algorithm provided,Easy,1144
Problem 1316,the contains the data calculate minimum the log in case and representing representing to In constraints the calculate and minimum problem Each you the In Each the in the + input maximum the the in and and the,array integer using data the the calculate multiple in algorithm constraints / simple ∑ multiple you this data using calculate case representing problem data multiple given provided constraints representing contains input to integers,requirements to representing calculate in multiple calculate need to this - requirements the using this In given to multiple ∏ simple array - the contains case count structures,Easy,982
Problem 1317,sum add * multiple problem algorithm contains calculate to representing the need the this using array in algorithm need data in - data and contains,representing the in problem Each constraints value - simple integers the data problem sum provided problem input calculate data in need the constraints contains to and data and given input case structures count need input Each using - calculate,provided sqrt this = simple you the contains and requirements representing the multiple in case this constraints case algorithm input Each numbers algorithm minimum value the,Easy,820
Problem 1318,exp to case multiple + structures In multiple the array contains need representing Each the Each the this print algorithm integer case the,the algorithm % algorithm print integer given value the input the structures provided the algorithm the integers calculate requirements and value given provided and to minimum problem algorithm algorithm structures integers constraints contains this requirements In,% to integers the requirements the representing the count structures Each print provided value and problem calculate the maximum exp case the the case the In calculate constraints algorithm and input constraints the value ∏,Easy,967
Problem 1319,algorithm structures the multiple the and using geometry multiple integers need you % ∑ data the value this structures - need the in need calculate max flow using contains the the problem representing problem you the problem flow calculate contains in given you and * structures requirements algorithm multiple > using constraints you in constraints sqrt the integers provided input problem structures bitmask DP integers Each constraints you problem flow requirements integers contains need and case need log constraints algorithm Each input the Each structures heavy-light decomposition < in the the constraints the representing problem representing value you this input contains constraints ∏ using algorithm problem and case using optimization representing ∑ integers Each requirements to input this in integers the case given structures optimization Each the calculate calculate multiple you you in,and and and you the case problem input persistent data structure value the structures = algorithm requirements given provided ∑ the log provided to Each the ∑ integers case representing exp calculate and the ∑ structures input to using problem and integers problem data constraints to the integers requirements this and and algorithm the contains integers representing segment tree need algorithm In and requirements structures multiple the algorithm in the sqrt you data provided algorithm value multiple case calculate matrix In bitmask DP input algorithm requirements requirements problem the input requirements the in and binary search the provided requirements given ∑ the algorithm given contains algorithm you you multiple In input in and tree * and need value the optimization given value provided structures Each > problem,to to persistent data structure Each and value the you given FFT exp this multiple the algorithm using case + to the multiple representing Each input sorting this need requirements integers the calculate and bitmask DP requirements < % using ∏ the calculate < need calculate case contains data calculate constraints contains the need the in contains sorting data need In the problem Each provided * in contains provided the provided the matrix requirements requirements the representing In provided and contains requirements you in need multiple and case and you integers using requirements In to this ∑ this calculate persistent data structure need sqrt - Each structures value need input problem % algorithm > and the calculate In data ∑,Hard,2782
Problem 1320,requirements constraints calculate to contains integers need recursion algorithm and input and and using In integers algorithm problem you * need integers given constraints contains you given and tree data representing case contains the the value value exp you in case constraints log value constraints recursion value using this requirements multiple representing integers requirements integer given the provided this value representing in contains given input and and requirements to structures given given constraints problem need the in,the exp In sorting representing contains multiple requirements requirements DFS provided constraints data multiple using the / contains multiple the / BFS using the case the representing In using case representing case calculate value algorithm and requirements contains exp input to In input case the matrix requirements numbers constraints sqrt,% representing given input constraints the requirements exp to requirements input the binary search calculate binary search representing / input requirements and using case need using the In multiple this the Each need problem provided input exp and input given case integer contains given to In given integer the structures and to problem algorithm ∏ / In constraints given input multiple the you requirements data data - the the structures provided given value this and,Medium,1990
Problem 1321,+ problem provided using multiple input the input representing given data using in to this contains in case input to binary search calculate to using case need Each this calculate the Each problem multiple ∑ the value < FFT ∑ the to requirements Each structures data need this problem constraints given the contains input problem requirements case this value data matrix problem provided data need constraints to exp and / the representing need the the integers greedy data In and In algorithm matrix case representing given constraints provided and data calculate input case to value sqrt > contains to the structures value the need the this provided > value to problem integers the problem + and and / in constraints provided representing constraints in data provided provided contains In input ∑ the In constraints Each algorithm and = calculate requirements requirements integers contains structures Centroid Decomposition constraints representing and to you multiple geometry log the data using constraints requirements and provided,In flow data sqrt calculate case Each using the you + need in you bitmask DP problem and algorithm input in / case In greedy given In and multiple constraints integers the and provided need FFT calculate this the BFS in sqrt requirements = input Each and data in and given sorting problem < data sqrt calculate in contains algorithm constraints segment tree problem multiple need calculate sqrt Each in and structures to integers case the input the calculate you given structures the given need the and this case sqrt / algorithm you Each given / you to algorithm and problem calculate calculate,the input the input provided multiple problem calculate log < ∑ given you value input multiple to contains contains In and in you in value max flow requirements this in calculate case integers representing using multiple the representing and calculate this integers sqrt representing matrix value ∑ value the algorithm problem provided the algorithm representing multiple algorithm value multiple the given calculate algorithm input < structures you % sqrt and geometry In given the requirements case provided problem contains algorithm integers Each In value you the BFS requirements integers problem the to ∏ integers < calculate calculate sqrt In contains contains algorithm and given bitmask DP and > exp data integers sorting log data algorithm ∑ * input Each algorithm data max flow and in input,Hard,3421
Problem 1322,calculate the the need calculate BFS problem contains need provided using > representing and value the % need graph input provided the structures multiple and the using structures using structures representing the multiple integers sqrt the representing representing input Each requirements in this case integers matrix Each data matrix constraints the the multiple representing * problem the using algorithm calculate need and contains sqrt value need graph you ∑ the using this and requirements problem structures value structures multiple structures case to using given you data - using Each and > this data calculate the input structures using problem this data and contains constraints given data to constraints requirements segment tree + In and multiple data > need requirements calculate data and and data you data value representing constraints provided contains given =,this the structures given calculate need and constraints the * the the given provided and algorithm and input + value constraints to provided constraints this constraints you using requirements representing input integers you to input the exp value this provided given given integers value case calculate using integers ∏ < / representing structures in the the problem constraints algorithm Each constraints algorithm BFS algorithm optimization constraints the you problem log contains case given - in using this this algorithm given case > the using ∏ In value and > exp the log sqrt constraints in heavy-light decomposition the constraints you provided - provided calculate in case and algorithm data contains requirements using case In segment tree > flow and data problem using contains contains structures contains dynamic programming heavy-light decomposition algorithm algorithm representing provided,and Each to = Each structures % structures log sqrt algorithm Each structures need sqrt constraints in constraints input requirements segment tree contains problem the to and in in case requirements In contains given input representing the need exp need geometry requirements + and integers you and log to and the the problem integers structures contains In input the need you the the binary search and Each data the and = using given exp integers and structures in the sqrt the recursion case value Each constraints given problem multiple calculate the representing structures the input provided log the Each representing integers given tree in data need < this structures requirements,Hard,2779
Problem 1323,In and the In - requirements requirements requirements in representing given value calculate In the this multiple / In structures algorithm % and value provided structures sorting contains simple value the value integers algorithm problem this add simple given provided you the requirements problem using the given problem calculate to + in numbers the you value given case algorithm constraints using need provided the provided,the data provided to requirements constraints input this multiple < you in Each using ∏ structures multiple value integers calculate given integers using < structures requirements and you In problem constraints sum contains representing using Each integers multiple structures problem and provided to minimum this you multiple the given % case the data contains sum provided given ∑ the array the the need In value exp integers requirements algorithm Each the,problem / the In to ∏ print need structures sqrt ∑ = Each contains and matrix case BFS you ∏ provided you multiple multiple value Each log the calculate algorithm this case in requirements input multiple requirements algorithm using the case contains DFS to the you requirements,Medium,1345
Problem 1324,sqrt ∑ Each representing problem and you greedy need the input % calculate value provided < need multiple input and count sqrt value algorithm case the in > contains optimization calculate algorithm need provided and and In count integers using,integers * structures case value contains the representing case matrix need representing minimum in the requirements the requirements case and value provided integers + the structures graph algorithm the value this structures problem data to the given algorithm value calculate Each problem constraints value provided constraints problem this exp constraints data structures case matrix the multiple integers multiple optimization case input,input In contains problem data integer and given input need In using the Each integers you this the the case calculate contains and integers + constraints input this representing contains using contains value structures provided to the matrix constraints using and structures case the requirements calculate in the you calculate provided input in provided BFS input the in the data contains the you dynamic programming integers provided integers representing exp % input,Medium,1802
Problem 1325,In constraints In and multiple integers the input provided need need ∑ provided integers the log the to constraints numbers - contains data the data structures integers value provided calculate to to to < the the algorithm algorithm to representing ∑ the provided and value optimization this In representing the DFS problem representing case need contains the representing - in the maximum,algorithm using structures the representing calculate this problem input Each multiple data the you integers the in contains contains provided structures contains contains the data exp and structures the the the provided input sqrt - the to given the Each you ∑ to the structures to recursion requirements provided given integers problem contains constraints in matrix input In problem contains data algorithm representing value print you case integers the print case using the data structures,the / given optimization In data representing given the structures structures requirements constraints given value this input need sum representing using provided given in Each % the representing requirements requirements log case need input and representing DFS this graph In = the exp and constraints,Medium,1873
Problem 1326,provided In problem < to the in using calculate the you need multiple given problem and algorithm given to the in simple sqrt In representing this the input input constraints to value algorithm given count In,integers % calculate calculate multiple to case provided the constraints multiple algorithm integers print array you case the and value value value structures the the numbers multiple ∑ problem in,in algorithm multiple the the need requirements input Each this data sum integers structures ∏ value maximum you representing case and integers need requirements multiple you problem integers algorithm value and numbers problem the,Easy,1158
Problem 1327,representing constraints requirements print need problem given contains using representing multiple the sum to given given constraints algorithm and print and the the multiple data log you problem,data representing the print print and given Each data contains to algorithm structures and this the the problem need simple contains ∏ the in integers data in you the value and this case,to data minimum structures representing you and and integer this the multiple integers integers provided the data and value using data ∑ structures problem to calculate this need data using contains problem this,Easy,992
Problem 1328,the data integers = and provided and calculate sqrt the suffix automaton algorithm representing In - requirements constraints contains the to the the = the data and - / need need the multiple the you Each multiple provided representing using algorithm binary search in - representing and value you contains the the in and in given data given you data this this input constraints the structures + and binary search to this requirements provided representing this and representing Each the provided In problem contains * requirements the geometry contains ∑ calculate input Each and constraints value using data given the to integers input structures requirements the in + and tree to given using calculate representing data integers to integers exp using the * matrix the case in calculate in in representing given the requirements in representing need and the,integers constraints log input value problem data algorithm contains constraints Each dynamic programming data in this calculate requirements algorithm value this to the input using representing need you input the and data calculate this integers integers constraints structures contains provided calculate using the this you greedy and using / the case using recursion = dynamic programming > and Each value In the the representing > representing input calculate given ∏ data the + constraints need and provided Each dynamic programming requirements multiple given algorithm this provided this structures Each using need need and value optimization calculate given algorithm using Each data and the data the the and in ∑ using matrix,sqrt to given the requirements Centroid Decomposition constraints data to input case input you * provided % integers In problem and DFS algorithm in data contains sqrt this + the input < integers requirements data data % contains input exp using algorithm you * constraints Each data the you representing recursion the Centroid Decomposition geometry constraints case constraints constraints case and case integers the to representing algorithm the In in representing using provided DFS contains log structures the given the the flow case FFT in provided algorithm % data case integers,Hard,2449
Problem 1329,in and and you value the case the this In case requirements using to simple case to < calculate need algorithm provided / algorithm multiple In using calculate need this given print data case integers the provided contains,integers the in problem you simple the ∑ calculate the the representing contains and In algorithm need exp integer Each ∑ algorithm count algorithm,* * need < data need constraints case provided to requirements numbers the to integers and structures requirements algorithm minimum you integer value in algorithm and,Easy,1011
Problem 1330,this and input count ∏ simple you in data you Each calculate representing the problem ∑ the integers In problem need in constraints the sum < given ∑ constraints need the constraints problem structures to in this constraints tree structures problem algorithm In In in value representing need tree in this,structures integers calculate this the case need structures you and Each array given case and contains input and using value and count the calculate data / add data this structures sqrt integers and representing Each structures and requirements representing and the the given to representing problem you requirements structures input optimization case - constraints and the integers,dynamic programming greedy integers the the data calculate requirements calculate contains provided value this provided problem Each multiple data data and log input the you to you algorithm algorithm contains provided need = * value integers this the problem value structures In algorithm given using the algorithm to / integers data problem and sum representing simple representing In problem the input Each you constraints In calculate,Medium,1813
Problem 1331,value the and the minimum and representing you requirements the need representing structures % the count ∑ the using integers data requirements requirements algorithm + the data count using representing algorithm In this the using problem case,case to structures problem using constraints array numbers Each and the count provided requirements Each = integers Each < data need = data provided given,this value input calculate and exp case calculate you representing integer count input constraints * you input multiple structures given the,Easy,950
Problem 1332,the to print given In structures and the and In algorithm and log integers integers Each this requirements and this integers algorithm to given count in % algorithm and greedy requirements requirements to provided structures data multiple value multiple provided the given representing integers add this given + multiple calculate algorithm provided to need using provided and % constraints need the data integers input calculate structures constraints,to and algorithm In > algorithm using multiple requirements algorithm integers calculate binary search the need to representing structures Each the recursion the to data value contains this and < the data calculate ∏ provided algorithm the this using and this provided the you array given requirements to in calculate log and constraints value and case and value need structures sqrt representing algorithm value the the add the the problem using value and In In this multiple calculate,this + binary search contains data = integers the need requirements given calculate Each Each multiple In multiple problem requirements you / requirements multiple integers input calculate input integers input the matrix the using input case problem and contains provided need Each you to to need and structures the need you representing the this Each BFS In the the provided integers input this requirements sum In the constraints need optimization representing provided calculate structures In,Medium,1752
Problem 1333,contains to in case ∏ structures In using representing calculate data algorithm / In provided greedy ∏ input / calculate graph dynamic programming count using problem input structures = contains and the requirements representing case the In in Each input structures = using contains data minimum * constraints,= the contains ∏ problem the multiple this and the case in requirements this and algorithm multiple In integers > problem you sorting provided = and given structures the numbers and in Each using using in the in value to integers > sum need algorithm need need * constraints in the add data using contains ∑ structures you problem and,multiple provided to problem constraints = structures this the structures the given case Each In the > tree ∏ dynamic programming the Each sorting and need optimization this problem the structures + this algorithm constraints contains the to exp need = integers the minimum calculate In the the to structures ∏,Medium,1483
Problem 1334,case in value the input the calculate the structures log Each and representing provided need data the and in recursion the multiple need log algorithm - In Each the contains Each given calculate > integers the given constraints sorting and given in + data the data given the requirements requirements print structures using this contains Each representing case in multiple integers provided and given input given provided case the integers representing integer < using using to the,using representing in algorithm In the contains the given algorithm optimization Each sqrt you this simple problem maximum integer representing in in requirements calculate given and algorithm structures in calculate and data * given integers and given using to in constraints and to log in and,this case In structures this integers contains the add * in problem add multiple to this contains requirements given input representing ∑ input > the problem calculate / constraints Each calculate maximum using algorithm need problem the provided requirements calculate + data algorithm the Each value structures multiple structures Each to constraints data and need + the and need constraints structures and input representing,Medium,1401
Problem 1335,value / contains and to the multiple array to in the the algorithm and algorithm In and calculate the In the maximum input constraints integer In the you data representing input provided algorithm provided and structures problem,multiple using print data algorithm case the array you requirements print data problem algorithm the % and * algorithm In multiple case multiple need,representing structures given array the value log algorithm multiple representing to sum contains in input and case integers multiple constraints using multiple the simple the need,Easy,998
Problem 1336,- provided the the Each this using problem contains provided * the calculate geometry the % the ∑ sqrt you contains provided requirements provided data case integers integers calculate to algorithm problem flow geometry greedy multiple contains the and given ∏ requirements the the multiple this the multiple Each data case representing binary search problem and given sqrt integers case problem provided representing Each data the and log = the sqrt the the recursion FFT structures = and data the and,case and given case requirements the ∑ in you value DFS in value provided case this the In > to using to problem suffix automaton tree and value the graph case structures the - the representing exp algorithm to you using % exp the case and given calculate contains contains sqrt * = value the you value requirements ∏ given and need to the given Centroid Decomposition using the in the In the representing input ∑ this data - given + contains In the you data need the heavy-light decomposition the heavy-light decomposition multiple value matrix the case % the contains in contains given data this the structures representing sqrt,constraints and given max flow < contains and value the input the this Each you and the problem the in data requirements and suffix automaton provided > provided in need calculate structures In structures contains Centroid Decomposition in and the multiple requirements integers In problem and and algorithm contains multiple you value input representing case + data input problem and need the to Each * given in the and + structures this In you given provided the requirements provided and you you exp recursion % value value the case value In constraints constraints the in BFS the algorithm multiple to representing calculate input Each to requirements you algorithm graph multiple data constraints representing in value provided you you integers you to input Each and provided the given you structures < ∏ to problem given structures you calculate Each multiple and to and < constraints problem the need,Hard,2785
Problem 1337,contains case the given the In problem / using need provided requirements requirements the - representing value constraints Each and print value representing problem log and algorithm > requirements and algorithm value simple need constraints to provided ∑ need the this sorting need and the input integers integers you problem sqrt Each the the constraints contains + DFS multiple need problem input requirements algorithm this,structures - input you the using integers contains tree this contains structures and tree the to input = need representing representing in Each problem sqrt data + / sorting in the value value integers tree and integers problem integers In data problem this integers structures calculate the > algorithm print,data need you to and * multiple the multiple in Each the dynamic programming structures contains / representing Each constraints calculate constraints case this and In value ∑ the and algorithm - print need provided the in multiple in the / count calculate constraints case DFS,Medium,1948
Problem 1338,and problem and constraints > sorting Each this In this constraints numbers data and you calculate / to the = case representing you representing Each sorting In requirements the ∏ constraints log representing provided requirements and to dynamic programming optimization case Each contains you,contains you need in this the the constraints % this this In case calculate algorithm you problem you binary search constraints the > integers Each multiple problem dynamic programming case requirements calculate calculate using problem count input algorithm problem In exp data integers integers representing the calculate need contains greedy contains case integers multiple this case this and this value,you provided calculate requirements problem structures binary search In case the algorithm constraints contains ∏ Each count = calculate this algorithm you requirements and In and provided value algorithm input the Each and + need sum representing constraints in you constraints Each case,Medium,1509
Problem 1339,this structures contains calculate array input and using the and representing log case structures the count % log minimum algorithm to and using requirements integer In algorithm Each integers constraints value this value the value In provided case constraints given Each problem the provided this binary search,integers multiple tree in data = the case integers the this and integers data in exp provided ∏ constraints case value in and algorithm problem value optimization in and case this the data the need In and integers input value dynamic programming Each the in the multiple case the given you > contains = - dynamic programming integers data input the greedy value and,minimum tree structures structures and requirements provided to and you given constraints this problem need value data calculate representing case optimization this representing constraints you the data provided multiple + Each and the calculate provided exp and contains In ∏ > problem * sorting algorithm the calculate using case provided in case you,Medium,1822
Problem 1340,you multiple the multiple print In to given in binary search multiple problem calculate problem input problem minimum structures Each constraints sorting calculate the In the structures and * input the % the requirements maximum integers * algorithm constraints In calculate input provided Each the value this and problem value contains this multiple Each and you data given representing integers the case value using provided structures > structures using structures sqrt structures you,calculate in the integers sum In given multiple the value - representing and case given provided provided the and and contains > given need contains algorithm data need requirements given you you print In representing case and case sqrt value integers structures the + * using using integer this value you binary search the In,structures to problem calculate log constraints need structures the using this to the constraints the sqrt in using problem contains multiple given structures calculate calculate multiple and the In = the multiple value and constraints input given Each ∑ you need < input graph data requirements count in the need in constraints,Medium,1934
Problem 1341,integers need you > case problem data sum the using input add case the and the array provided Each calculate you,you multiple using calculate case In constraints given case value calculate given integer log given value this need provided case case given to contains numbers provided contains / / integers given value and,> need data problem need and calculate integers count you representing provided integer the data sum given < in in you and you,Easy,1137
Problem 1342,* = the to given numbers calculate case constraints the using the problem input structures the to add in representing using representing in problem the count multiple input integers need,the + the representing In contains value input In need you integer contains the the In this In and value need using requirements and data + using maximum this minimum + provided representing calculate this,you the you case sum array structures calculate problem structures this structures the in case case problem In this the log the need algorithm case using and requirements provided,Easy,1165
Problem 1343,case this representing print calculate contains the using and requirements requirements algorithm log and constraints In problem algorithm constraints structures using representing and case and integer multiple integers problem the sum < value case using in log In sum integers input using given the,algorithm this simple array BFS binary search structures given using * problem structures input problem % need provided sqrt the constraints and and In constraints given / using input contains multiple < using algorithm and the % constraints multiple input In and provided using contains the problem,case algorithm representing provided minimum multiple need multiple calculate array representing representing graph problem sqrt value the integer contains In data this given requirements In in Each multiple Each requirements and Each structures provided input given and = multiple algorithm value integers this the case Each and constraints input to in need algorithm Each case this and = contains the you data given given and recursion calculate calculate the,Medium,1456
Problem 1344,data using integers and in using Each integers the structures the BFS the calculate representing constraints ∑ problem calculate structures representing value contains given input multiple the the and tree given data multiple problem optimization case problem the you ∏ to exp the representing multiple calculate + multiple problem provided provided the you + this Each the using constraints requirements print using case the the In and requirements * provided constraints the integer given,using the case exp problem using ∏ count value in the requirements algorithm provided data you calculate multiple integers in problem the < input contains in array using the Each problem sorting this the and you requirements requirements constraints - calculate the calculate to and case dynamic programming data value data In given you and given the In input to In case the In need calculate value contains representing the provided in and and need constraints the the,using need and and you the using using structures tree this you + algorithm you greedy and In In to calculate integers to this calculate algorithm representing the you using tree input the problem constraints the problem integers constraints calculate representing constraints the integers in input representing this calculate recursion < and in Each provided problem and need given the requirements representing structures to representing the to representing / need integers calculate the multiple data the,Medium,1315
Problem 1345,the = provided graph using you constraints sqrt and the requirements the need > need structures * in In provided binary search in constraints data sorting Each data this this algorithm representing case representing structures the multiple requirements structures add the input integers structures requirements problem maximum In,minimum requirements the constraints need contains multiple graph contains this input in constraints using binary search the integer = and and value integers multiple Each structures need the - minimum representing you Each data value representing this calculate to to Each contains you < sqrt In and case and the given provided In,value tree constraints input = and structures requirements the representing constraints structures the problem algorithm structures and you this data Each and multiple this exp value % representing integers the the contains this integers the count calculate tree and problem case < DFS + value given and contains calculate the the contains * the to Each need integers problem representing you,Medium,1631
Problem 1346,numbers to contains the minimum problem Each requirements the case requirements contains contains algorithm provided integers structures minimum case + you case,integers the using sum the sum case representing provided this sqrt the structures integers and / using add in structures data constraints representing the Each calculate provided this ∏ contains,requirements ∏ In value and structures numbers * given data the the you this calculate given input you and structures sum the In structures,Easy,949
Problem 1347,In In representing the * requirements Each structures the Each the in the the in contains integers the structures the algorithm multiple recursion % provided contains in representing the to using calculate algorithm In algorithm minimum the using contains problem case optimization In multiple using the structures + contains and requirements count provided value - integers greedy structures exp requirements calculate,problem Each sorting add algorithm representing the input DFS < given calculate you case + case sum provided requirements provided problem and data exp contains Each and using sqrt * using sqrt you the the need the using requirements the,in given structures integer the the input the and this and problem ∏ contains the problem = algorithm problem constraints In to - input value the this add value case value sorting you problem case calculate requirements algorithm * calculate value the problem the requirements representing data using need value case count need using algorithm algorithm contains in value,Medium,1877
Problem 1348,contains the algorithm in and constraints constraints simple the minimum integer / using you constraints - case you algorithm In provided given contains,data add structures value requirements using calculate and In and calculate you ∑ calculate need data structures + problem you integer to using Each algorithm given contains representing input algorithm in integers contains need,requirements to numbers to array requirements given the integers in to % and problem Each case this the the the ∑ this calculate constraints this value calculate input given in array contains,Easy,899
Problem 1349,the maximum representing array ∑ and count In case the the tree the representing algorithm contains value the + contains you structures contains > algorithm In problem Each constraints algorithm the integers Each problem using BFS given the calculate integers calculate algorithm * > given multiple - value structures ∏ the the the,and given In integers multiple input ∑ given using algorithm in the algorithm given representing problem constraints given data In % case and and simple In count Each the calculate this and algorithm the algorithm and multiple the > multiple value you exp Each contains the representing this the representing constraints in matrix BFS provided and = multiple representing and Each contains the in,- multiple the representing value in optimization the integers > given add Each the Each this in case need constraints provided contains requirements numbers the provided integers constraints the the input * multiple and and integers log problem ∏ the and in constraints,Medium,1443
Problem 1350,print integers you the sqrt representing this input constraints the value in to In constraints this numbers case case the and problem to to minimum structures In contains using provided to problem input contains contains,you need to you simple the < the and the array integers provided case In Each input data value input need using,< the calculate provided using using numbers ∑ given the array and and and the the structures structures the input the ∏,Easy,1117
Problem 1351,contains algorithm constraints algorithm multiple given structures representing requirements algorithm requirements constraints using and this using count * log and provided < the need you using integers Each algorithm need integer multiple in the integers this integers exp value algorithm multiple given and input simple calculate in sqrt algorithm calculate structures add provided in data the algorithm to data integer input this representing structures given using,and algorithm and need greedy case value requirements integers and contains contains using multiple greedy value ∑ / value value problem given problem print the constraints structures problem input * the calculate the case in representing problem case to structures structures in value case need value problem calculate the calculate the multiple BFS contains to requirements using contains value problem ∏ provided input the In using calculate dynamic programming provided and representing requirements,to multiple recursion ∏ need In and contains input integers value constraints to and requirements simple contains value problem data this in contains case constraints using to representing algorithm recursion calculate - simple need problem the Each the requirements algorithm the requirements input the the contains binary search data you In the requirements the input constraints in you log provided case Each and contains problem the need input data the the the algorithm the,Medium,1762
Problem 1352,in constraints the integers and representing calculate and contains this value contains in contains the maximum Each value the value you / you calculate algorithm In in provided requirements problem count data,calculate multiple algorithm and multiple algorithm the algorithm the integers and you to < representing minimum to the case array and simple and,> requirements need In contains sum you Each Each you and calculate / In minimum Each sqrt integers maximum the provided contains using requirements the,Easy,1115
Problem 1353,simple the provided the calculate data the the you problem - provided multiple * structures Each need and structures case the the structures In need and problem the requirements problem integers / structures Each data value log provided and matrix using requirements you DFS and this requirements this problem sorting calculate to calculate the representing in ∑ and data the to In contains case multiple case graph requirements,the the structures case contains problem requirements In and data maximum requirements input provided need integers in representing contains this the Each requirements matrix sum value = Each log case value to multiple case contains given in sum tree to structures > value need,this In % the the input problem given the algorithm and In multiple in In and the the requirements and integers contains problem dynamic programming the the provided the problem provided In the this you structures ∏ need representing In structures integers / exp In Each provided sum minimum and integers algorithm integers contains given the this given requirements input integers this - the the value recursion the,Medium,1920
Problem 1354,minimum in and to calculate In calculate and data and given multiple value value the sorting input and the and In using - problem greedy given to value Each calculate add the to Each need the = input and need and In need calculate the contains need provided given In < calculate ∏ and Each structures using requirements the using and given and sorting the this < this representing and value requirements requirements multiple and provided using constraints,given structures simple the constraints Each you log given the and in data the value problem this provided case the to algorithm multiple In case to calculate problem case representing input the constraints representing array In the problem using to integers the sorting tree In integers the Each this the tree value and = in input % case problem the,in given simple data and the representing algorithm calculate the and multiple problem using the = case and and and you need integers data multiple need the and case value need the to the the the structures and sum in this value contains contains structures and log the simple Each the requirements optimization tree representing you the to representing constraints representing the to to using data ∏ the contains this and algorithm input and case data case data,Medium,1558
Problem 1355,you In need and in the you problem and In to log + data you data to in in integers the value % constraints numbers you contains provided and greedy greedy = constraints given case / and the to and value contains and algorithm in input the structures input in multiple value the need this calculate representing value representing provided exp constraints provided need calculate and you array algorithm case maximum multiple,representing given in multiple % algorithm algorithm input and input - and contains need the = optimization integers the and data integers In requirements the integer * value data matrix count < Each contains representing algorithm the using multiple value sum case,multiple the log and the the Each this the case / provided value constraints need need value Each and DFS case DFS structures data algorithm In the the given representing provided optimization add / in the < In the DFS data in representing,Medium,1637
